LG+FC+BU{1.846177}, partition_248 = 131530-131876
JTT+FC+BU{0.631336}, partition_249 = 131877-132318
JTT-DCMUT+FC+BU{1.166878}, partition_250 = 132319-132621
JTT+FC+BU{0.520260}, partition_251 = 132622-133258
JTT-DCMUT+FC+BU{0.536652}, partition_252 = 133259-133546
MTZOA+FC+BU{1.175671}, partition_253 = 133547-133851
JTT+FC+BU{0.876096}, partition_254 = 133852-134205
HIVB+FC+BU{1.931994}, partition_255 = 134206-134523
JTT+FC+BU{1.531826}, partition_256 = 134524-135092
JTT+FC+BU{1.937583}, partition_257 = 135093-135432
LG+FC+BU{1.290979}, partition_258 = 135433-135902
JTT-DCMUT+FC+BU{1.224329}, partition_259 = 135903-136115
JTT-DCMUT+FC+BU{1.757829}, partition_260 = 136116-136426
JTT+FC+BU{0.503572}, partition_261 = 136427-136984
JTT+FC+BU{0.491667}, partition_262 = 136985-138233
LG+FC+BU{1.623986}, partition_263 = 138234-138833
JTT+FC+BU{1.047308}, partition_264 = 138834-139643
MTZOA+FC+BU{0.544014}, partition_265 = 139644-140183
JTT+FC+BU{1.783882}, partition_266 = 140184-140944
JTT+FC+BU{0.197581}, partition_267 = 140945-141534
JTT+FC+BU{0.266409}, partition_268 = 141535-142334
LG+FC+BU{1.011706}, partition_269 = 142335-142749
JTT+FC+BU{0.598541}, partition_270 = 142750-142979
JTT+FC+BU{0.875285}, partition_271 = 142980-143304
JTT+FC+BU{1.552861}, partition_272 = 143305-143621
JTT-DCMUT+FC+BU{0.458603}, partition_273 = 143622-143996
LG+FC+BU{1.072911}, partition_274 = 143997-144245
JTT+FC+BU{1.368178}, partition_275 = 144246-144633
JTT+BU{0.352832}, partition_276 = 144634-145906
JTT+FC+BU{0.449338}, partition_277 = 145907-146611
JTT+FC+BU{1.857926}, partition_278 = 146612-147531
FLU+FC+BU{0.152181}, partition_279 = 147532-147752
JTT+BU{0.743116}, partition_280 = 147753-148097
JTT+FC+BU{1.388314}, partition_281 = 148098-149040
WAG+FC+BU{2.186916}, partition_282 = 149041-149350
JTT+FC+BU{0.643934}, partition_283 = 149351-150424
JTT-DCMUT+FC+BU{0.640882}, partition_284 = 150425-150680
JTT+FC+BU{1.277715}, partition_285 = 150681-151174
LG+BU{1.289109}, partition_286 = 151175-151613
JTT+FC+BU{0.391259}, partition_287 = 151614-152098
JTT-DCMUT+FC+BU{0.575112}, partition_288 = 152099-152571
JTT+FC+BU{0.719105}, partition_289 = 152572-154271
JTT+FC+BU{0.664976}, partition_290 = 154272-155237
JTT+FC+BU{0.734585}, partition_291 = 155238-155537
JTT+FC+BU{0.500193}, partition_292 = 155538-156350
JTT+FC+BU{1.857139}, partition_293 = 156351-156896
JTT+FC+BU{1.162924}, partition_294 = 156897-157343
MTZOA+FC+BU{0.422153}, partition_295 = 157344-157900
JTT+FC+BU{1.722055}, partition_296 = 157901-158382
MTZOA+FC+BU{0.226920}, partition_297 = 158383-158591
LG+FC+BU{1.713510}, partition_298 = 158592-159314
JTT-DCMUT+FC+BU{0.838735}, partition_299 = 159315-159878
JTT-DCMUT+FC+BU{1.248225}, partition_300 = 159879-160475
JTT+FC+BU{0.453548}, partition_301 = 160476-160964
