FLU+FC+BU{1.138037}, partition_379 = 237329-238615
JTT+FC+BU{0.186728}, partition_380 = 238616-239123
JTT+FC+BU{0.256944}, partition_381 = 239124-240041
JTT+FC+BU{0.374623}, partition_382 = 240042-240470
JTT+FC+BU{0.473774}, partition_383 = 240471-240807
JTT+FC+BU{1.032879}, partition_384 = 240808-241923
JTT+FC+BU{0.818394}, partition_385 = 241924-242271
FLU+FC+BU{0.504208}, partition_386 = 242272-242658
JTT+FC+BU{1.279308}, partition_387 = 242659-243080
JTT+FC+BU{1.712571}, partition_388 = 243081-243410
HIVB+FC+BU{0.159329}, partition_389 = 243411-244037
HIVB+FC+BU{0.315084}, partition_390 = 244038-244311
LG+FC+BU{0.861659}, partition_391 = 244312-244634
HIVB+FC+BU{1.487149}, partition_392 = 244635-245048
JTT+FC+BU{0.342668}, partition_393 = 245049-246007
LG+FC+BU{0.707215}, partition_394 = 246008-246355
JTT+FC+BU{0.703752}, partition_395 = 246356-246811
WAG+FC+BU{1.473903}, partition_396 = 246812-247391
LG+FC+BU{0.401865}, partition_397 = 247392-247599
HIVB+FC+BU{0.185117}, partition_398 = 247600-247819
JTT+FC+BU{1.852189}, partition_399 = 247820-248319
JTT+FC+BU{0.371169}, partition_400 = 248320-248679
JTT+FC+BU{1.598409}, partition_401 = 248680-249348
JTT+FC+BU{0.230363}, partition_402 = 249349-249720
JTT+FC+BU{0.952155}, partition_403 = 249721-250075
HIVB+FC+BU{2.710840}, partition_404 = 250076-250300
WAG+FC+BU{2.201506}, partition_405 = 250301-250976
JTT+FC+BU{0.292188}, partition_406 = 250977-251437
JTT+FC+BU{0.146693}, partition_407 = 251438-251709
MTZOA+FC+BU{0.531234}, partition_408 = 251710-251882
JTT-DCMUT+BU{0.880208}, partition_409 = 251883-252230
HIVB+FC+BU{0.966870}, partition_410 = 252231-252287
JTT+FC+BU{0.604683}, partition_411 = 252288-252916
JTT+FC+BU{1.448457}, partition_412 = 252917-253615
HIVB+FC+BU{0.737295}, partition_413 = 253616-253992
JTT-DCMUT+FC+BU{0.992384}, partition_414 = 253993-254432
MTREV+FC+BU{0.151270}, partition_415 = 254433-254557
JTT+FC+BU{0.807213}, partition_416 = 254558-255883
JTT+FC+BU{2.468278}, partition_417 = 255884-256323
JTT+FC+BU{0.973900}, partition_418 = 256324-256728
